University_Name,Country,Course_Field,Degree_Level,Min_IELTS,Min_German_Score,Min_Academic_Percentage,Tuition_Fee_USD,Backlogs_Allowed,Work_Experience_Required,Intake,Ranking_Tier
Global Institute 37,Canada,IT,Master,6.6,0,72,13440,1,1,Spring,Target
Global Institute 38,Germany,Arts,Bachelor,6.9,60,73,13560,2,2,Fall,Safe
Global Institute 39,Australia,Medical,Master,7.2,0,74,13680,3,0,Spring,Dream
Global Institute 40,USA,Engineering,Bachelor,6.0,0,75,13800,4,1,Fall,Target
Global Institute 41,UK,Management,Master,6.3,0,76,13920,5,2,Spring,Safe
Global Institute 42,Canada,IT,Bachelor,6.6,0,77,14040,0,0,Fall,Dream
Global Institute 43,Germany,Arts,Master,6.9,60,78,14160,1,1,Spring,Target
Global Institute 44,Australia,Medical,Bachelor,7.2,0,79,14280,2,2,Fall,Safe
Global Institute 45,USA,Engineering,Master,6.0,0,80,14400,3,0,Spring,Dream
Global Institute 46,UK,Management,Bachelor,6.3,0,81,14520,4,1,Fall,Target
Global Institute 47,Canada,IT,Master,6.6,0,82,14640,5,2,Spring,Safe
Global Institute 48,Germany,Arts,Bachelor,6.9,60,83,14760,0,0,Fall,Dream
Global Institute 49,Australia,Medical,Master,7.2,0,84,14880,1,1,Spring,Target
Global Institute 50,USA,Engineering,Bachelor,6.0,0,60,15000,2,2,Fall,Safe
Global Institute 51,UK,Management,Master,6.3,0,61,15120,3,0,Spring,Dream
Global Institute 52,Canada,IT,Bachelor,6.6,0,62,15240,4,1,Fall,Target
Global Institute 53,Germany,Arts,Master,6.9,60,63,15360,5,2,Spring,Safe
Global Institute 54,Australia,Medical,Bachelor,7.2,0,64,15480,0,0,Fall,Dream
Global Institute 55,USA,Engineering,Master,6.0,0,65,15600,1,1,Spring,Target
Global Institute 56,UK,Management,Bachelor,6.3,0,66,15720,2,2,Fall,Safe
Global Institute 57,Canada,IT,Master,6.6,0,67,15840,3,0,Spring,Dream
Global Institute 58,Germany,Arts,Bachelor,6.9,60,68,15960,4,1,Fall,Target
Global Institute 59,Australia,Medical,Master,7.2,0,69,16080,5,2,Spring,Safe
Global Institute 60,USA,Engineering,Bachelor,6.0,0,70,16200,0,0,Fall,Dream
Global Institute 61,UK,Management,Master,6.3,0,71,16320,1,1,Spring,Target
Global Institute 62,Canada,IT,Bachelor,6.6,0,72,16440,2,2,Fall,Safe
Global Institute 63,Germany,Arts,Master,6.9,60,73,16560,3,0,Spring,Dream
Global Institute 64,Australia,Medical,Bachelor,7.2,0,74,16680,4,1,Fall,Target
Global Institute 65,USA,Engineering,Master,6.0,0,75,16800,5,2,Spring,Safe
Global Institute 66,UK,Management,Bachelor,6.3,0,76,16920,0,0,Fall,Dream
Global Institute 67,Canada,IT,Master,6.6,0,77,17040,1,1,Spring,Target
Global Institute 68,Germany,Arts,Bachelor,6.9,60,78,17160,2,2,Fall,Safe
Global Institute 69,Australia,Medical,Master,7.2,0,79,17280,3,0,Spring,Dream
Global Institute 70,USA,Engineering,Bachelor,6.0,0,80,17400,4,1,Fall,Target
Global Institute 71,UK,Management,Master,6.3,0,81,17520,5,2,Spring,Safe
Global Institute 72,Canada,IT,Bachelor,6.6,0,82,17640,0,0,Fall,Dream
Global Institute 73,Germany,Arts,Master,6.9,60,83,17760,1,1,Spring,Target
Global Institute 74,Australia,Medical,Bachelor,7.2,0,84,17880,2,2,Fall,Safe
Global Institute 75,USA,Engineering,Master,6.0,0,60,18000,3,0,Spring,Dream
Global Institute 76,UK,Management,Bachelor,6.3,0,61,18120,4,1,Fall,Target
Global Institute 77,Canada,IT,Master,6.6,0,62,18240,5,2,Spring,Safe
Global Institute 78,Germany,Arts,Bachelor,6.9,60,63,18360,0,0,Fall,Dream
Global Institute 79,Australia,Medical,Master,7.2,0,64,18480,1,1,Spring,Target
Munich Tech Academy,Germany,Engineering,Bachelor,6.0,0,70,0,4,0,Fall,Safe
Stuttgart Eng School,Germany,Engineering,Bachelor,6.5,60,75,500,2,0,Fall,Target
Berlin Global Institute,Germany,IT,Bachelor,6.5,0,72,1000,3,0,Spring,Target
Hamburg Science Academy,Germany,Engineering,Bachelor,6.0,65,78,0,1,0,Fall,Dream
Silicon Valley IT,USA,IT,Bachelor,6.5,0,70,25000,2,1,Fall,Target
Texas Tech,USA,Engineering,Bachelor,6.0,0,65,20000,4,0,Spring,Safe
London Biz College,UK,Management,Bachelor,6.5,0,68,18000,3,0,Fall,Target
Toronto Data School,Canada,IT,Bachelor,6.5,0,75,15000,2,1,Fall,Dream
Sydney Med Academy,Australia,Medical,Bachelor,7.0,0,80,22000,0,2,Spring,Dream
